Time,Bucket,Size (GB)
2025-09-29 15:11:02.398942,test04,0.048828125
2025-09-29 15:11:02.398942,test05,0.146484375
2025-09-29 15:11:02.398942,test06,0.0
2025-09-29 15:11:02.398942,test07,0.0
2025-09-29 15:11:18.790264,test01,0.244140625
2025-09-29 15:11:18.790264,test02,0.244140625
2025-09-29 15:11:18.790264,test03,0.244140625
2025-09-29 15:11:18.790264,test04,0.048828125
2025-09-29 15:11:18.790264,test05,0.146484375
2025-09-29 15:11:18.790264,test06,0.0
2025-09-29 15:11:18.790264,test07,0.0
2025-09-29 15:11:49.570154,test01,0.244140625
2025-09-29 15:11:49.570154,test02,0.244140625
2025-09-29 15:11:49.570154,test03,0.244140625
2025-09-29 15:11:49.570154,test04,0.048828125
2025-09-29 15:11:49.570154,test05,0.146484375
2025-09-29 15:11:49.570154,test06,0.0
2025-09-29 15:11:49.570154,test07,0.0
2025-09-29 15:12:19.558741,test01,0.244140625
2025-09-29 15:12:19.558741,test02,0.244140625
2025-09-29 15:12:19.558741,test03,0.244140625
2025-09-29 15:12:19.558741,test04,0.048828125
2025-09-29 15:12:19.558741,test05,0.146484375
2025-09-29 15:12:19.558741,test06,0.0
2025-09-29 15:12:19.558741,test07,0.0
2025-09-29 15:12:49.589539,test01,0.244140625
2025-09-29 15:12:49.589539,test02,0.244140625
2025-09-29 15:12:49.589539,test03,0.244140625
2025-09-29 15:12:49.589539,test04,0.048828125
2025-09-29 15:12:49.589539,test05,0.146484375
2025-09-29 15:12:49.589539,test06,0.0
2025-09-29 15:12:49.589539,test07,0.0
2025-09-29 15:13:19.554612,test01,0.244140625
2025-09-29 15:13:19.554612,test02,0.244140625
2025-09-29 15:13:19.554612,test03,0.244140625
2025-09-29 15:13:19.554612,test04,0.048828125
2025-09-29 15:13:19.554612,test05,0.146484375
2025-09-29 15:13:19.554612,test06,0.0
2025-09-29 15:13:19.554612,test07,0.0
2025-09-29 15:14:10.981718,test01,0.244140625
2025-09-29 15:14:10.981718,test02,0.244140625
2025-09-29 15:14:10.981718,test03,0.244140625
2025-09-29 15:14:10.981718,test04,0.048828125
2025-09-29 15:14:10.981718,test05,0.146484375
2025-09-29 15:14:10.981718,test06,0.0
2025-09-29 15:14:10.981718,test07,0.0
2025-09-29 15:14:40.961567,test01,0.244140625
2025-09-29 15:14:40.961567,test02,0.244140625
2025-09-29 15:14:40.961567,test03,0.244140625
2025-09-29 15:14:40.961567,test04,0.048828125
2025-09-29 15:14:40.961567,test05,0.146484375
2025-09-29 15:14:40.961567,test06,0.0
2025-09-29 15:14:40.961567,test07,0.0
2025-09-29 15:15:10.968748,test01,0.244140625
